run_name,depth,architecture,replicate,checkpoint_step,layer_name,mmcs,ml2r,ml2r_shrinkage_gap,assignment_cosine_mean,per_feature_mmcs,per_feature_ml2r,high_mmcs_flag,paper_shrinkage_flag_0p95,paper_shrinkage_flag_0p90,paper_shrinkage_flag_0p80,grouped_top1_ml2r,grouped_top3_ml2r,grouped_top5_ml2r
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,linear1,0.9998481869697571,0.9965306520462036,0.0034693479537963867,0.9998481869697571,"[0.9999117851257324, 0.9997507929801941, 0.9999932050704956, 0.9998915195465088, 0.9996935725212097]","[0.9903349280357361, 1.0066561698913574, 0.9893515110015869, 1.0033365488052368, 0.9929741621017456]",1.0,0.0,0.0,0.0,0.9965306520462036,1.0368156433105469,1.0379291772842407
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,linear2,0.63509202003479,0.6152989268302917,0.38470107316970825,0.63509202003479,"[0.6275622248649597, 0.6426218748092651]","[0.6019314527511597, 0.6286664009094238]",0.0,0.0,0.0,0.0,0.6152989268302917,0.9760068655014038,1.0288708209991455
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,hidden_layers.0,0.7284276485443115,0.8117471933364868,0.18825280666351318,0.7194057703018188,"[0.612748920917511, 0.8441063165664673]","[0.9784144163131714, 0.645080029964447]",0.0,0.0,0.0,0.0,0.8117471933364868,1.033087134361267,1.032845139503479
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,linear1,0.9998675584793091,0.9968185424804688,0.00318145751953125,0.9998675584793091,"[0.9999114871025085, 0.9997791051864624, 0.9999855160713196, 0.9999468922615051, 0.9997145533561707]","[0.9980547428131104, 1.0026506185531616, 0.986345112323761, 1.0056984424591064, 0.9913439154624939]",1.0,0.0,0.0,0.0,0.9968185424804688,1.0376883745193481,1.0383615493774414
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,linear2,0.6348862648010254,0.6137802600860596,0.38621973991394043,0.6348862648010254,"[0.629125714302063, 0.6406468749046326]","[0.599846601486206, 0.6277138590812683]",0.0,0.0,0.0,0.0,0.6137802600860596,0.9766993522644043,1.0246150493621826
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,hidden_layers.0,0.7285035252571106,0.8175879716873169,0.1824120283126831,0.7200130820274353,"[0.6132223010063171, 0.843784749507904]","[0.9859024286270142, 0.6492735147476196]",0.0,0.0,0.0,0.0,0.8175879716873169,1.0379154682159424,1.0378127098083496
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,linear1,0.9998981356620789,0.997779369354248,0.002220630645751953,0.9998981356620789,"[0.9999227523803711, 0.9998978972434998, 0.9999968409538269, 0.9999619126319885, 0.9997113943099976]","[0.9920505881309509, 1.0079574584960938, 0.9909657835960388, 1.0069321393966675, 0.9909905791282654]",1.0,0.0,0.0,0.0,0.997779369354248,1.0400152206420898,1.0407230854034424
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,linear2,0.6348397731781006,0.6158784031867981,0.3841215968132019,0.6348397731781006,"[0.625389575958252, 0.6442899703979492]","[0.6040250658988953, 0.6277317404747009]",0.0,0.0,0.0,0.0,0.6158784031867981,0.9781231880187988,1.0250647068023682
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,hidden_layers.0,0.7286548614501953,0.8144862651824951,0.18551373481750488,0.7212467193603516,"[0.6141692996025085, 0.8431404829025269]","[0.9817662239074707, 0.6472063660621643]",0.0,0.0,0.0,0.0,0.8144862651824951,1.0367159843444824,1.0364466905593872
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,linear1,0.9998788833618164,0.9977339506149292,0.0022660493850708008,0.9998788833618164,"[0.9999139308929443, 0.9998083710670471, 0.999993622303009, 0.9999326467514038, 0.999745786190033]","[0.9951586723327637, 1.00324285030365, 0.9943826794624329, 1.0000956058502197, 0.9957899451255798]",1.0,0.0,0.0,0.0,0.9977339506149292,1.0415098667144775,1.0399904251098633
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,linear2,0.6346113085746765,0.6154892444610596,0.38451075553894043,0.6346113085746765,"[0.6244235634803772, 0.6447990536689758]","[0.6003648638725281, 0.6306136846542358]",0.0,0.0,0.0,0.0,0.6154892444610596,0.9775206446647644,1.0308635234832764
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,hidden_layers.0,0.7288697957992554,0.8154171705245972,0.18458282947540283,0.7212110757827759,"[0.6155238151550293, 0.8422157764434814]","[0.982788622379303, 0.6480456590652466]",0.0,0.0,0.0,0.0,0.8154171705245972,1.0373528003692627,1.0371345281600952
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,linear1,0.9998882412910461,0.9999787211418152,2.1278858184814453e-05,0.9998882412910461,"[0.9999207854270935, 0.9998301863670349, 0.9999955892562866, 0.9999464154243469, 0.9997478127479553]","[0.9993331432342529, 1.0069071054458618, 0.9965560436248779, 1.00089430809021, 0.9962031841278076]",1.0,0.0,0.0,0.0,0.9999787211418152,1.0437743663787842,1.0421009063720703
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,linear2,0.6336674690246582,0.6167962551116943,0.38320374488830566,0.6336674690246582,"[0.6237252950668335, 0.6436097025871277]","[0.6027058959007263, 0.6308866143226624]",0.0,0.0,0.0,0.0,0.6167962551116943,0.9788997173309326,1.0323230028152466
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,hidden_layers.0,0.728679895401001,0.8144813776016235,0.18551862239837646,0.7207281589508057,"[0.6143264174461365, 0.8430334329605103]","[0.9816034436225891, 0.647359311580658]",0.0,0.0,0.0,0.0,0.8144813776016235,1.036705493927002,1.03654944896698
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,linear1,0.969779372215271,1.2518279552459717,-0.2518279552459717,0.8374384641647339,"[0.9989392757415771, 0.9999821186065674, 0.9914141297340393, 0.9966003894805908, 0.8619608879089355]","[1.0308787822723389, 0.057122666388750076, 2.085196018218994, 1.1502026319503784, 1.9357398748397827]",1.0,0.0,0.0,0.0,1.2518279552459717,3.6987557411193848,4.754519939422607
