run_name,depth,architecture,replicate,checkpoint_step,probe_type,raw_output_norm_ratio_mean,ci_masked_output_norm_ratio_mean,raw_output_contraction_gap,ci_output_contraction_gap,raw_output_mse,ci_masked_output_mse,raw_jacobian_fro_ratio_mean,ci_jacobian_fro_ratio_mean,raw_jacobian_contraction_gap,ci_jacobian_contraction_gap
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,15000,exhaustive,0.9993532299995422,0.8657602071762085,0.0006467700004577637,0.1342397928237915,0.00030609211535193026,0.01947537623345852,0.944540215936917,0.2822262061051318,0.05545978406308305,0.7177737938948682
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,20000,exhaustive,1.0011117458343506,0.8729562759399414,-0.001111745834350586,0.1270437240600586,0.00018990652461070567,0.0209328792989254,0.9889051863129719,0.30154314218996536,0.011094813687028138,0.6984568578100346
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,25000,exhaustive,0.9875444173812866,0.868375301361084,0.012455582618713379,0.13162469863891602,0.00021160650067031384,0.019279679283499718,0.9989835992150539,0.3076219929031534,0.0010164007849461365,0.6923780070968466
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,30000,exhaustive,1.0027095079421997,0.8708695769309998,-0.002709507942199707,0.12913042306900024,0.0003267472784500569,0.020131807774305344,1.0003259997679845,0.30587127768736194,-0.00032599976798453056,0.694128722312638
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,35000,exhaustive,1.0034432411193848,0.8738492727279663,-0.0034432411193847656,0.1261507272720337,0.0002658044104464352,0.020800981670618057,0.9986622552563487,0.3053322717665417,0.0013377447436513368,0.6946677282334583
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,40000,exhaustive,1.002414345741272,0.8759831190109253,-0.0024143457412719727,0.12401688098907471,0.0003313714696560055,0.021324127912521362,1.0015030933495666,0.304895205503062,-0.0015030933495665533,0.695104794496938
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000,exhaustive,0.9430980682373047,1.1051795482635498,0.05690193176269531,-0.1051795482635498,8.253890700871125e-05,0.016988899558782578,1.0044262707238407,2.5193518290638885,-0.0044262707238407195,-1.5193518290638885
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,10000,exhaustive,0.9378660321235657,0.9646068215370178,0.062133967876434326,0.03539317846298218,8.492304186802357e-05,0.009390255436301231,1.0002359884923688,2.7045566789439457,-0.00023598849236883268,-1.7045566789439457
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,15000,exhaustive,0.9459945559501648,0.8174962997436523,0.054005444049835205,0.18250370025634766,0.00013323115126695484,0.00829225406050682,1.0066316908084416,2.6833273346529887,-0.006631690808441615,-1.6833273346529887
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,exhaustive,0.950191080570221,0.753720223903656,0.04980891942977905,0.246279776096344,7.47309168218635e-05,0.011610908433794975,1.0100729129172485,2.659689200641716,-0.010072912917248544,-1.6596892006417159
