run_name,depth,architecture,replicate,checkpoint_step,layer_name,probe_type,mean_pre_sigmoid_ci,mean_lower_ci,mean_upper_ci,median_lower_ci,frac_lower_ci_gt_0p9,frac_lower_ci_lt_0p1,raw_fro_ratio,expected_mask_fro_ratio_mean,expected_train_mask_fro_ratio_mean,mask_attenuation_gap,train_mask_attenuation_gap
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,hidden_layers.0,singleton,0.07341383397579193,0.07829342782497406,0.07865436375141144,0.0,0.07999999821186066,0.9200000166893005,1.0015544891357422,0.9263440370559692,0.9255800247192383,0.07521045207977295,0.0759744644165039
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,linear1,singleton,-0.4560288190841675,0.0480019748210907,0.0480019748210907,0.0,0.05000000074505806,0.949999988079071,1.0031533241271973,0.6299955248832703,0.6284948587417603,0.373157799243927,0.374658465385437
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,linear2,singleton,-1.1469765901565552,0.10200215131044388,0.10222914814949036,0.0,0.05000000074505806,0.8799999952316284,1.0031533241271973,0.7465884685516357,0.7450788617134094,0.2565648555755615,0.25807446241378784
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,hidden_layers.0,singleton,0.07420844584703445,0.07862687855958939,0.0789165198802948,0.0,0.07999999821186066,0.9200000166893005,1.0025603771209717,0.9281963109970093,0.9269436001777649,0.0743640661239624,0.07561677694320679
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,linear1,singleton,-0.4497092068195343,0.04827377200126648,0.04827377200126648,0.0,0.05000000074505806,0.949999988079071,1.0030781030654907,0.6308777332305908,0.6294105648994446,0.3722003698348999,0.37366753816604614
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,linear2,singleton,-1.150447130203247,0.10106291621923447,0.10121692717075348,0.0,0.05000000074505806,0.8799999952316284,1.0030781030654907,0.7449597716331482,0.7434861660003662,0.25811833143234253,0.2595919370651245
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,hidden_layers.0,singleton,0.07683008909225464,0.07848675549030304,0.07876325398683548,0.0,0.07999999821186066,0.9200000166893005,1.0031087398529053,0.9276334643363953,0.9261140823364258,0.07547527551651001,0.07699465751647949
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,linear1,singleton,-0.44607433676719666,0.047930579632520676,0.047930579632520676,0.0,0.05000000074505806,0.949999988079071,1.0034549236297607,0.6302818655967712,0.6286357045173645,0.3731730580329895,0.37481921911239624
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,linear2,singleton,-1.1501476764678955,0.10264100134372711,0.10278435051441193,0.0,0.05000000074505806,0.8700000047683716,1.0034549236297607,0.7488610148429871,0.7472038865089417,0.2545939087867737,0.2562510371208191
exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,hidden_layers.0,singleton,0.07758542895317078,0.07844836264848709,0.0787183940410614,0.0,0.07999999821186066,0.9200000166893005,1.003260612487793,0.9275123476982117,0.9259173274040222,0.0757482647895813,0.07734328508377075
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,linear1,singleton,-0.0723920464515686,0.018295852467417717,0.018349727615714073,0.0,0.009999999776482582,0.9800000190734863,0.9961491227149963,0.5853662490844727,0.5862426161766052,0.4107828736305237,0.4099065065383911
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,linear2,singleton,-0.053698454052209854,0.02835366316139698,0.028620952740311623,0.0,0.019999999552965164,0.9700000286102295,1.044882893562317,0.686375617980957,0.6635767221450806,0.35850727558135986,0.38130617141723633
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,hidden_layers.0,singleton,-0.07377197593450546,0.03412684425711632,0.03426086902618408,0.0,0.019999999552965164,0.9599999785423279,1.039149284362793,0.6840614676475525,0.6643072366714478,0.3550878167152405,0.3748420476913452
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,linear1,singleton,-0.107818603515625,0.01756703108549118,0.01756703108549118,0.0,0.009999999776482582,0.9800000190734863,0.9942988157272339,0.5842012763023376,0.5861230492591858,0.41009753942489624,0.4081757664680481
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,linear2,singleton,-0.024083169177174568,0.028011426329612732,0.028239451348781586,0.0,0.019999999552965164,0.9700000286102295,1.0348643064498901,0.6805245876312256,0.6625064611434937,0.35433971881866455,0.3723578453063965
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,hidden_layers.0,singleton,-0.06216069683432579,0.034536417573690414,0.03465930372476578,0.0,0.019999999552965164,0.9599999785423279,1.0430694818496704,0.6900462508201599,0.6683826446533203,0.3530232310295105,0.3746868371963501
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,linear1,singleton,-0.10430976748466492,0.017804794013500214,0.017804794013500214,0.0,0.009999999776482582,0.9800000190734863,1.004035234451294,0.5900793075561523,0.5873805284500122,0.4139559268951416,0.41665470600128174
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,linear2,singleton,-0.02855915017426014,0.028148142620921135,0.028363604098558426,0.0,0.019999999552965164,0.9700000286102295,1.0384304523468018,0.682466983795166,0.6626373529434204,0.35596346855163574,0.37579309940338135
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,hidden_layers.0,singleton,-0.018613534048199654,0.03438388928771019,0.03449535742402077,0.0,0.019999999552965164,0.9599999785423279,1.0360631942749023,0.6848999857902527,0.6668440103530884,0.35116320848464966,0.36921918392181396
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,linear1,singleton,-0.09151139110326767,0.017904268577694893,0.017904268577694893,0.0,0.009999999776482582,0.9800000190734863,0.9954350590705872,0.5855375528335571,0.5869026184082031,0.40989750623703003,0.40853244066238403
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,linear2,singleton,-0.03698473423719406,0.028116049244999886,0.028319744393229485,0.0,0.019999999552965164,0.9700000286102295,1.0560072660446167,0.6908116340637207,0.6624736785888672,0.365195631980896,0.3935335874557495
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,hidden_layers.0,singleton,-0.004134195391088724,0.03421887755393982,0.03432564437389374,0.0,0.019999999552965164,0.9599999785423279,1.046305537223816,0.689462423324585,0.6662755012512207,0.35684311389923096,0.3800300359725952
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,linear1,singleton,-0.08856770396232605,0.01776054874062538,0.01776054874062538,0.0,0.009999999776482582,0.9800000190734863,0.9964149594306946,0.584987461566925,0.585923433303833,0.41142749786376953,0.4104915261268616
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,linear2,singleton,-0.03076743334531784,0.027978088706731796,0.02817709930241108,0.0,0.019999999552965164,0.9700000286102295,1.0428001880645752,0.6825920343399048,0.6606940031051636,0.3602081537246704,0.3821061849594116
exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,hidden_layers.0,singleton,-0.006332007236778736,0.034116487950086594,0.03420756012201309,0.0,0.019999999552965164,0.9599999785423279,1.0454679727554321,0.6883505582809448,0.6654731035232544,0.3571174144744873,0.37999486923217773
