layer_name,target_fro_norm,raw_fro_norm,delta_fro_norm,raw_fro_ratio,delta_fro_ratio,raw_spectral_ratio,faithfulness_mse,target_singular_values,raw_singular_values,run_name,depth,architecture,replicate,checkpoint_step,top1_component_strength_frac,top3_component_strength_frac,raw_under_scaling_gap,delta_support_gap
hidden_layers.0,1.9800277948379517,1.983540654182434,0.004866456612944603,1.0017741918563843,0.0024577719159424305,1.002869963645935,5.9205995057709515e-06,"[1.6324187517166138, 1.1205888986587524]","[1.6371036767959595, 1.1199666261672974]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,20000,0.5063371062278748,0.9708616733551025,-0.0017741918563842773,0.0024577719159424305
linear1,2.201704740524292,2.2080583572387695,0.008301357738673687,1.0028858184814453,0.003770422888919711,1.0027929544448853,6.891254543006653e-06,"[1.7000540494918823, 1.3990427255630493]","[1.70480215549469, 1.4032721519470215]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,0.21025405824184418,0.6179036498069763,-0.0028858184814453125,0.003770422888919711
linear2,2.201704740524292,2.2080583572387695,0.008301357738673687,1.0028858184814453,0.003770422888919711,1.0027928352355957,6.891253633511951e-06,"[1.7000542879104614, 1.3990426063537598]","[1.7048022747039795, 1.403272032737732]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,0.21025405824184418,0.6179036498069763,-0.0028858184814453125,0.003770422888919711
hidden_layers.0,1.9800277948379517,1.9831057786941528,0.0049374159425497055,1.0015544891357422,0.0024936094414442778,1.00150465965271,6.094518994359532e-06,"[1.6324187517166138, 1.1205888986587524]","[1.634874939918518, 1.122449278831482]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,25000,0.5054786205291748,0.9672157168388367,-0.0015544891357421875,0.0024936094414442778
linear1,2.201704740524292,2.2086474895477295,0.009082869626581669,1.0031533241271973,0.004125380422919989,1.0025794506072998,8.249851816799492e-06,"[1.7000540494918823, 1.3990427255630493]","[1.7044391632080078, 1.4046393632888794]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,0.2110956758260727,0.6197150945663452,-0.0031533241271972656,0.004125380422919989
linear2,2.201704740524292,2.2086474895477295,0.009082869626581669,1.0031533241271973,0.004125380422919989,1.0025792121887207,8.249851816799492e-06,"[1.7000542879104614, 1.3990426063537598]","[1.7044391632080078, 1.404639482498169]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,0.2110956758260727,0.61971515417099,-0.0031533241271972656,0.004125380422919989
hidden_layers.0,1.9800277948379517,1.9850974082946777,0.005319214425981045,1.0025603771209717,0.002686434192582965,1.0028631687164307,7.0735104600316845e-06,"[1.6324187517166138, 1.1205888986587524]","[1.6370925903320312, 1.1227374076843262]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,30000,0.504834771156311,0.9690840244293213,-0.0025603771209716797,0.002686434192582965
linear1,2.201704740524292,2.208481788635254,0.0071294717490673065,1.0030781030654907,0.0032381596975028515,1.002642273902893,5.082937605038751e-06,"[1.7000540494918823, 1.3990427255630493]","[1.7045460939407349, 1.4042490720748901]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,0.2109024077653885,0.6183971166610718,-0.0030781030654907227,0.0032381596975028515
linear2,2.201704740524292,2.208481788635254,0.0071294717490673065,1.0030781030654907,0.0032381596975028515,1.002642273902893,5.082937605038751e-06,"[1.7000542879104614, 1.3990426063537598]","[1.7045462131500244, 1.4042489528656006]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,0.2109024077653885,0.6183971166610718,-0.0030781030654907227,0.0032381596975028515
hidden_layers.0,1.9800277948379517,1.9861832857131958,0.006277525797486305,1.0031087398529053,0.003170422976836562,1.0031344890594482,9.851833056018222e-06,"[1.6324187517166138, 1.1205888986587524]","[1.637535572052002, 1.124011516571045]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,35000,0.5058125853538513,0.9692369103431702,-0.0031087398529052734,0.003170422976836562
linear1,2.201704740524292,2.2093114852905273,0.007790147326886654,1.0034549236297607,0.003538234392181039,1.0034699440002441,6.068639322620584e-06,"[1.7000540494918823, 1.3990427255630493]","[1.7059532403945923, 1.4038447141647339]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,0.21075423061847687,0.617978036403656,-0.003454923629760742,0.003538234392181039
linear2,2.201704740524292,2.2093114852905273,0.007790147326886654,1.0034549236297607,0.003538234392181039,1.0034698247909546,6.068639322620584e-06,"[1.7000542879104614, 1.3990426063537598]","[1.7059532403945923, 1.4038445949554443]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,0.21075423061847687,0.617978036403656,-0.003454923629760742,0.003538234392181039
hidden_layers.0,1.9800277948379517,1.9864838123321533,0.006466218736022711,1.003260612487793,0.003265721257776022,1.0033541917800903,1.0452996320964303e-05,"[1.6324187517166138, 1.1205888986587524]","[1.6378942728042603, 1.1240195035934448]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,40000,0.5055565237998962,0.969588041305542,-0.0032606124877929688,0.003265721257776022
linear1,1.7514567375183105,1.7447121143341064,0.08458071947097778,0.9961491227149963,0.0482916422188282,1.0167944431304932,0.0007153897895477712,"[1.5205098390579224, 0.8692819476127625]","[1.5460458993911743, 0.808555543422699]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,0.49193888902664185,0.7232691049575806,0.003850877285003662,0.0482916422188282
linear2,1.7514567375183105,1.8300671577453613,0.19635683298110962,1.044882893562317,0.11211058497428894,1.0616741180419922,0.003855600254610181,"[1.5205096006393433, 0.8692820072174072]","[1.6142857074737549, 0.8621060848236084]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,0.3380848467350006,0.689548134803772,-0.044882893562316895,0.11211058497428894
hidden_layers.0,1.8929394483566284,1.9670466184616089,0.1371690034866333,1.039149284362793,0.0724634900689125,1.0251190662384033,0.0047038341872394085,"[1.625439167022705, 0.9701377153396606]","[1.6662685871124268, 1.0453808307647705]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,5000,0.4037286043167114,0.7621543407440186,-0.03914928436279297,0.0724634900689125
linear1,1.7514567375183105,1.7414714097976685,0.06848403066396713,0.9942988157272339,0.03910118341445923,1.0080788135528564,0.00046900619054213166,"[1.5205098390579224, 0.8692819476127625]","[1.5327937602996826, 0.8265992999076843]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,0.4836275577545166,0.7183437347412109,0.005701184272766113,0.03910118341445923
linear2,1.7514567375183105,1.812520146369934,0.2019364982843399,1.0348643064498901,0.11529631167650223,1.0462775230407715,0.004077835474163294,"[1.5205096006393433, 0.8692820072174072]","[1.5908750295639038, 0.8685309290885925]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,0.3397391438484192,0.707677960395813,-0.03486430644989014,0.11529631167650223
hidden_layers.0,1.8929394483566284,1.974467396736145,0.15226969122886658,1.0430694818496704,0.08044086396694183,1.0385302305221558,0.005796514451503754,"[1.625439167022705, 0.9701377153396606]","[1.6880676746368408, 1.0241825580596924]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,10000,0.4019543528556824,0.7576992511749268,-0.04306948184967041,0.08044086396694183
linear1,1.7514567375183105,1.7585241794586182,0.05218714103102684,1.004035234451294,0.0297964196652174,1.0170890092849731,0.0002723498037084937,"[1.5205098390579224, 0.8692819476127625]","[1.5464937686920166, 0.837117075920105]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,0.4824942350387573,0.7136710286140442,-0.004035234451293945,0.0297964196652174
linear2,1.7514567375183105,1.8187659978866577,0.2138841450214386,1.0384304523468018,0.12211785465478897,1.0502843856811523,0.0045746429823338985,"[1.5205096006393433, 0.8692820072174072]","[1.5969674587249756, 0.8704049587249756]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,0.3436262905597687,0.7188909649848938,-0.03843045234680176,0.12211785465478897
hidden_layers.0,1.8929394483566284,1.9612048864364624,0.1351078748703003,1.0360631942749023,0.07137463986873627,1.0331802368164062,0.004563534166663885,"[1.625439167022705, 0.9701377153396606]","[1.67937171459198, 1.0129340887069702]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,15000,0.39480605721473694,0.7487863898277283,-0.036063194274902344,0.07137463986873627
linear1,1.7514567375183105,1.7434614896774292,0.06180286779999733,0.9954350590705872,0.0352865494787693,1.0112392902374268,0.000381959427613765,"[1.5205098390579224, 0.8692819476127625]","[1.5375993251800537, 0.8218551874160767]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,0.4843031167984009,0.7147846817970276,0.004564940929412842,0.0352865494787693
linear2,1.7514567375183105,1.8495510816574097,0.23304632306098938,1.0560072660446167,0.133058562874794,1.0723997354507446,0.005431058816611767,"[1.5205096006393433, 0.8692820072174072]","[1.63059401512146, 0.8729278445243835]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,0.34777915477752686,0.7270119786262512,-0.0560072660446167,0.133058562874794
hidden_layers.0,1.8929394483566284,1.980592966079712,0.14654022455215454,1.046305537223816,0.07741411030292511,1.0333508253097534,0.005368508864194155,"[1.625439167022705, 0.9701377153396606]","[1.679648995399475, 1.049537181854248]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,20000,0.39552798867225647,0.7472066283226013,-0.04630553722381592,0.07741411030292511
linear1,1.7514567375183105,1.7451777458190918,0.06269510090351105,0.9964149594306946,0.03579597547650337,1.0124483108520508,0.0003930675738956779,"[1.5205098390579224, 0.8692819476127625]","[1.5394376516342163, 0.8220568895339966]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,0.48433125019073486,0.7145180702209473,0.00358504056930542,0.03579597547650337
linear2,1.7514567375183105,1.826419472694397,0.22345757484436035,1.0428001880645752,0.127583846449852,1.0547024011611938,0.004993328358978033,"[1.5205096006393433, 0.8692820072174072]","[1.6036851406097412, 0.8740720152854919]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,0.348117470741272,0.7282031178474426,-0.042800188064575195,0.127583846449852
hidden_layers.0,1.8929394483566284,1.9790074825286865,0.1570391058921814,1.0454679727554321,0.08296044915914536,1.0332053899765015,0.006165320053696632,"[1.625439167022705, 0.9701377153396606]","[1.6794124841690063, 1.0469213724136353]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,25000,0.395710289478302,0.7500610947608948,-0.04546797275543213,0.08296044915914536
linear1,1.7514567375183105,1.7457112073898315,0.061586346477270126,0.9967195987701416,0.03516292944550514,1.0130512714385986,0.0003792877832893282,"[1.5205098390579224, 0.8692819476127625]","[1.5403544902801514, 0.8214713335037231]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,30000,0.48484140634536743,0.7148902416229248,0.0032804012298583984,0.03516292944550514
linear2,1.7514567375183105,1.8216983079910278,0.22274121642112732,1.040104627609253,0.12717483937740326,1.0518453121185303,0.0049613649025559425,"[1.5205096006393433, 0.8692820072174072]","[1.5993409156799316, 0.872177243232727]",exp_07_tms_5_2_3layer_untied_rep1,3,untied,1,30000,0.3478499948978424,0.7286299467086792,-0.04010462760925293,0.12717483937740326
